Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
7415,6,1.36,5.44,34.08,0.0264,0.9447,1.7152,2.20,0.3537,0.0259,0.0082,0.0188,2.3552,ND,0.0024,0.0028,0.0060,0.0007,0.0006,0.0078,0.0198,0.0017,0.0205,0.0021,ND,ND,ND,ND,ND,0.0010,ND,0.0012,ND,ND,ND,51.40
7416,6,1.56,4.19,35.41,ND,0.7842,1.2018,4.26,0.3001,0.0211,0.0063,0.0185,1.7221,ND,0.0017,0.0012,0.0041,0.0007,0.0004,0.0054,0.0242,0.0020,0.0188,0.0016,ND,ND,ND,ND,ND,0.0012,ND,0.0008,ND,ND,ND,50.47
7416,6,1.49,4.49,33.94,ND,0.8007,1.3103,3.67,0.2983,0.0216,0.0048,0.0221,1.9298,ND,0.0013,0.0018,0.0045,0.0008,0.0004,0.0062,0.0267,0.0019,0.0188,0.0014,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,0.0012,ND,51.95
7417,6,1.29,4.21,34.38,0.0533,0.6317,1.3039,3.88,0.3117,0.0176,0.0107,0.0222,1.7966,ND,0.0016,0.0012,0.0039,0.0006,0.0003,0.0056,0.0258,0.0021,0.0189,0.0017,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,0.0012,ND,52.03
7417,6,1.76,4.05,32.86,ND,0.6458,1.1553,5.51,0.3159,0.0265,0.0091,0.0335,2.0518,ND,0.0015,0.0013,0.0028,0.0006,0.0004,0.0054,0.0296,0.0022,0.0161,0.0012,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,51.51
7418,6,1.50,4.37,30.54,ND,2.5443,1.2606,4.72,0.3069,0.0228,0.0085,0.0257,2.0881,ND,0.0019,0.0014,0.0033,0.0006,0.0005,0.0059,0.0242,0.0019,0.0225,0.0013,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,ND,52.54
7418,6,1.95,5.22,33.64,ND,0.9496,1.5706,2.46,0.3428,0.0310,0.0088,0.0216,2.2905,ND,0.0020,0.0029,0.0049,0.0008,0.0005,0.0073,0.0218,0.0019,0.0229,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,ND,51.45
7419,6,1.33,4.30,35.50,ND,0.7168,1.2961,3.44,0.2853,0.0243,0.0054,0.0217,1.7830,ND,0.0013,0.0021,0.0030,0.0004,0.0002,0.0059,0.0281,0.0016,0.0162,0.0017,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0010,ND,51.23
7419,6,1.34,4.10,33.92,ND,0.6978,1.1828,4.68,0.3070,0.0275,0.0045,0.0215,1.6723,ND,0.0015,0.0021,0.0042,0.0005,0.0003,0.0058,0.0323,0.0021,0.0210,0.0013,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,51.98
7420,6,1.76,4.66,34.56,ND,0.8328,1.4011,3.06,0.3103,0.0300,0.0058,0.0199,1.8987,ND,0.0016,0.0017,0.0032,0.0006,0.0004,0.0063,0.0259,0.0020,0.0187,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,0.0010,ND,51.40
7420,6,1.85,5.40,33.37,ND,1.3718,1.6519,1.66,0.3369,0.0281,0.0097,0.0196,2.3005,ND,0.0027,0.0024,0.0043,0.0009,0.0007,0.0074,0.0232,0.0017,0.0211,0.0019,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,51.93
7421,6,2.19,7.64,29.56,ND,2.1743,2.7116,1.23,0.4633,0.0383,0.0180,0.0202,4.3121,ND,0.0104,0.0056,0.0156,0.0023,0.0021,0.0124,0.0203,0.0027,0.0246,0.0024,ND,ND,ND,ND,ND,ND,0.0005,0.0022,ND,0.0011,ND,49.54
7421,6,2.44,8.23,30.82,ND,0.9927,2.9129,1.08,0.4675,0.0349,0.0079,0.0327,3.2263,ND,0.0049,0.0039,0.0129,0.0011,0.0005,0.0132,0.0178,0.0026,0.0250,0.0024,ND,ND,ND,ND,ND,ND,ND,0.0017,ND,0.0012,ND,49.67
7422,6,1.04,2.60,37.61,ND,0.3875,0.6223,5.04,0.2110,0.0250,0.0047,0.0216,1.0922,ND,ND,0.0011,0.0038,0.0003,0.0002,0.0032,0.0281,0.0018,0.0138,0.0007,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,ND,ND,51.30
7422,6,2.12,7.54,32.24,ND,0.8759,2.5771,1.07,0.4642,0.0333,0.0075,0.0298,2.9066,ND,0.0051,0.0031,0.0056,0.0008,0.0005,0.0121,0.0200,0.0023,0.0252,0.0027,ND,ND,ND,ND,ND,0.0011,ND,0.0018,ND,0.0011,ND,50.06
7423,6,1.52,4.13,35.24,0.0205,0.6681,1.1522,3.83,0.2750,0.0287,0.0046,0.0195,1.6082,ND,0.0014,0.0014,0.0023,0.0005,0.0003,0.0052,0.0277,0.0028,0.0195,0.0012,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,0.0005,51.45
7423,6,1.67,5.91,33.67,ND,1.1062,1.8457,1.74,0.3968,0.0325,0.0083,0.0231,2.6177,ND,0.0022,0.0027,0.0051,0.0009,0.0006,0.0085,0.0280,0.0023,0.0236,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0014,ND,0.0013,ND,50.90
7424,6,1.98,5.73,33.20,ND,1.2660,1.8040,1.81,0.3977,0.0387,0.0073,0.0218,2.6947,ND,0.0036,0.0035,0.0039,0.0010,0.0005,0.0081,0.0269,0.0022,0.0232,0.0022,ND,ND,ND,ND,ND,ND,0.0004,0.0015,ND,0.0010,ND,50.97
7424,6,4.11,3.98,26.21,0.0491,0.9907,1.0875,1.60,0.3296,0.0302,0.0069,0.0208,2.3267,ND,0.0026,0.0022,0.0029,0.0009,0.0005,0.0079,0.0221,0.0021,0.0225,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0017,ND,ND,ND,59.19
7425,6,2.21,4.87,31.69,ND,0.9082,1.4809,1.95,0.3460,0.0330,0.0074,0.0224,2.2992,ND,0.0026,0.0015,0.0025,0.0010,0.0005,0.0079,0.0233,0.0022,0.0235,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,ND,0.0006,54.11
7425,6,2.55,4.88,31.48,ND,1.2013,1.4696,1.77,0.3704,0.0271,0.0078,0.0179,2.5314,ND,0.0026,0.0026,0.0040,0.0010,0.0007,0.0078,0.0233,0.0020,0.0240,0.0023,ND,ND,ND,ND,ND,ND,0.0005,0.0016,ND,0.0012,ND,53.63
7426,6,1.75,5.22,32.74,ND,1.0923,1.6478,1.85,0.3871,0.0259,0.0087,0.0176,2.3862,ND,0.0034,0.0029,0.0034,0.0009,0.0007,0.0082,0.0230,0.0021,0.0234,0.0022,ND,ND,ND,ND,ND,ND,ND,0.0017,ND,ND,ND,52.80
7426,6,2.02,6.86,32.55,0.0666,1.2867,2.3015,1.58,0.4431,0.0298,0.0139,0.0200,2.6774,ND,0.0047,0.0036,0.0035,0.0010,0.0009,0.0098,0.0213,0.0033,0.0257,0.0021,ND,ND,ND,ND,ND,ND,ND,0.0021,ND,0.0012,ND,50.06
7427,6,1.65,5.65,33.40,ND,1.0571,1.8582,1.40,0.4021,0.0327,0.0095,0.0217,2.4727,ND,0.0025,0.0030,0.0074,0.0011,0.0007,0.0087,0.0219,0.0019,0.0248,0.0021,ND,ND,ND,ND,ND,ND,ND,0.0018,ND,ND,ND,51.98
7427,6,1.51,5.95,32.25,ND,1.1053,2.0795,1.35,0.4200,0.0328,0.0083,0.0184,2.6747,ND,0.0033,0.0027,0.0036,0.0013,0.0008,0.0100,0.0198,0.0022,0.0250,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0018,ND,0.0010,ND,52.53
7428,6,2.68,3.93,25.90,ND,0.4867,0.9792,8.54,0.2515,0.0215,ND,0.0801,3.8759,ND,0.0013,0.0012,0.0015,0.0006,0.0004,0.0055,0.0204,0.0018,0.0156,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0010,ND,ND,ND,53.20
7428,6,2.13,2.99,30.19,ND,0.3853,0.6974,7.67,0.3209,0.0203,0.0064,0.0662,2.8176,ND,ND,0.0017,0.0011,0.0005,ND,0.0036,0.0172,0.0023,0.0506,0.0016,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,52.63
7429,6,2.69,4.99,23.91,ND,0.5161,1.2909,10.03,0.3277,0.0179,0.0058,0.1010,4.8777,ND,ND,0.0029,0.0015,0.0006,0.0003,0.0066,0.0224,0.0017,0.0200,0.0018,ND,ND,ND,ND,ND,ND,0.0008,0.0011,ND,0.0012,ND,51.19
7429,6,1.30,2.34,23.69,ND,0.1654,0.3266,19.33,0.1896,0.0242,ND,0.0687,1.1126,ND,ND,0.0012,0.0010,ND,ND,0.0021,0.0597,0.0022,0.0094,0.0012,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,0.0013,ND,51.38
7430,6,3.29,2.88,22.26,ND,0.2371,0.5052,14.09,0.1973,0.0177,ND,0.1392,4.9968,ND,ND,0.0010,0.0009,0.0004,ND,0.0027,0.0195,0.0017,0.0127,0.0010,ND,ND,ND,ND,ND,0.0013,ND,0.0008,ND,0.0010,ND,51.33
7430,6,2.78,2.51,26.75,ND,0.2441,0.4610,10.29,0.2383,0.0187,ND,0.1139,3.6540,ND,ND,0.0009,0.0005,0.0003,0.0002,0.0028,0.0257,0.0019,0.0218,0.0012,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,52.88
7431,6,2.50,2.67,28.92,ND,0.3237,0.5127,8.54,0.2711,0.0160,ND,0.0916,3.0276,ND,ND,0.0017,0.0005,0.0004,ND,0.0030,0.0298,0.0019,0.0303,0.0010,ND,ND,ND,ND,ND,ND,ND,0.0009,ND,ND,ND,53.05
7431,6,1.46,3.16,31.43,ND,0.4389,0.7203,6.45,0.2922,0.0171,0.0049,0.0628,2.5374,ND,ND,0.0017,0.0011,ND,ND,0.0038,0.0218,0.0022,0.0347,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,ND,53.35
7432,6,2.20,5.34,31.81,ND,0.8408,1.6228,1.26,0.4365,0.0248,0.0098,0.0176,1.9688,ND,ND,0.0030,0.0042,0.0008,0.0004,0.0081,0.0235,0.0019,0.0330,0.0024,ND,ND,ND,ND,ND,ND,0.0004,0.0015,ND,0.0012,ND,54.38
7432,6,3.12,5.17,29.32,0.0364,1.0663,1.3897,0.96,0.3359,0.0272,0.0096,0.0151,2.0644,ND,0.0037,0.0026,0.0019,0.0009,0.0008,0.0086,0.0217,0.0018,0.0233,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0021,ND,ND,ND,56.41
7433,6,1.38,4.51,35.20,ND,0.6062,1.2352,1.60,0.3129,0.0252,0.0044,0.0149,1.2530,ND,ND,0.0013,0.0015,0.0006,0.0002,0.0055,0.0231,0.0015,0.0214,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,0.0012,ND,53.80
7433,6,1.75,4.72,34.73,ND,0.7895,1.2823,1.71,0.3201,0.0240,0.0075,0.0141,1.6333,ND,0.0019,0.0024,0.0017,0.0005,0.0003,0.0061,0.0239,0.0019,0.0223,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0016,ND,ND,ND,52.96
7434,6,1.89,4.60,32.90,ND,0.7261,1.1819,3.98,0.3314,0.0297,0.0059,0.0367,2.2652,ND,0.0022,0.0013,0.0024,0.0005,0.0003,0.0057,0.0259,0.0022,0.0219,0.0012,ND,ND,ND,ND,ND,0.0012,ND,0.0015,ND,ND,ND,51.99
7434,6,4.54,3.69,27.01,0.0766,0.8779,0.8112,1.12,0.2645,0.0228,0.0056,0.0115,1.2845,ND,0.0019,0.0017,0.0021,0.0004,0.0002,0.0068,0.0287,0.0018,0.0254,0.0021,ND,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,ND,60.21
7435,6,1.79,6.35,33.73,ND,1.0611,1.9962,1.08,0.4112,0.0307,0.0127,0.0148,2.1171,ND,0.0021,0.0024,0.0019,0.0008,0.0004,0.0083,0.0257,0.0022,0.0232,0.0023,ND,ND,ND,ND,ND,ND,0.0004,0.0014,ND,ND,ND,51.32
7435,6,2.09,6.38,32.47,ND,0.7879,2.0235,0.82,0.4311,0.0426,0.0088,0.0137,2.0821,ND,0.0021,0.0020,0.0027,0.0009,0.0003,0.0096,0.0261,0.0025,0.0348,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0009,ND,0.0009,ND,52.77
7436,6,1.38,3.93,36.17,ND,0.4376,0.9451,2.40,0.2827,0.0337,ND,0.0202,1.2386,ND,ND,0.0025,0.0318,0.0004,ND,0.0043,0.0302,0.0016,0.0182,0.0013,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,0.0012,ND,53.07
7436,6,2.76,2.69,34.35,ND,0.5162,0.4480,2.12,0.2549,0.0242,ND,0.0239,1.1624,ND,ND,0.0008,0.0021,0.0003,ND,0.0037,0.0372,0.0018,0.0268,0.0014,ND,ND,ND,ND,ND,0.0011,ND,0.0008,ND,0.0014,ND,55.56
7437,6,1.44,2.90,37.70,ND,0.4881,0.5611,2.70,0.4694,0.0263,0.0047,0.0259,1.5185,ND,ND,0.0023,0.0037,0.0004,ND,0.0033,0.0286,0.0025,0.0584,0.0026,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,0.0014,ND,52.06
7437,6,1.69,6.84,32.88,ND,0.5811,2.3193,0.84,0.5681,0.0424,0.0123,0.0165,2.0908,ND,0.0033,0.0026,0.0023,0.0007,ND,0.0115,0.0320,0.0027,0.0386,0.0031,ND,ND,ND,ND,ND,0.0011,ND,0.0009,ND,0.0010,ND,52.01
7438,6,2.37,6.69,31.42,ND,0.8828,1.9810,0.84,0.4291,0.0334,0.0083,0.0132,2.1603,ND,0.0020,0.0025,0.0033,0.0005,ND,0.0105,0.0347,0.0024,0.0281,0.0025,ND,ND,ND,ND,ND,0.0013,ND,0.0011,ND,0.0013,ND,53.08
7438,6,2.67,6.00,30.89,ND,0.4482,1.6977,0.74,0.4321,0.0268,0.0086,0.0136,1.5562,ND,0.0027,0.0060,0.0021,0.0003,ND,0.0098,0.0308,0.0024,0.0333,0.0025,ND,ND,ND,ND,ND,0.0010,ND,0.0006,ND,ND,ND,55.43
7439,6,2.02,6.51,32.05,ND,0.5860,1.9363,1.08,0.4550,0.0289,0.0091,0.0155,1.6357,ND,0.0020,0.0047,0.0020,0.0004,ND,0.0093,0.0347,0.0025,0.0297,0.0023,ND,ND,ND,ND,ND,ND,0.0005,0.0008,ND,ND,ND,53.58
7439,6,2.21,6.50,32.08,ND,0.4502,1.9159,1.19,0.4312,0.0329,0.0083,0.0143,1.6564,ND,0.0015,0.0039,0.0021,ND,ND,0.0096,0.0332,0.0023,0.0314,0.0023,ND,ND,ND,ND,ND,0.0011,ND,0.0008,ND,ND,ND,53.42
7440,6,2.25,3.24,32.27,ND,0.1610,0.6773,7.06,0.2709,0.0184,0.0058,0.0646,2.6809,ND,0.0014,0.0018,0.0013,0.0004,ND,0.0033,0.0240,0.0025,0.0172,0.0011,ND,ND,ND,ND,ND,0.0010,ND,0.0007,ND,0.0011,ND,51.24
7440,6,3.21,5.21,28.89,0.0208,0.3895,1.2281,2.77,0.3578,0.0331,ND,0.0328,2.0368,ND,ND,0.0045,0.0017,0.0004,ND,0.0071,0.0257,0.0022,0.0298,0.0021,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,55.74
7441,6,2.77,5.63,29.79,0.0291,0.6107,1.4643,1.56,0.3634,0.0233,0.0050,0.0184,1.5004,ND,0.0014,0.0029,0.0035,0.0006,0.0002,0.0072,0.0340,0.0021,0.0281,0.0021,ND,ND,ND,ND,ND,ND,ND,0.0010,ND,ND,ND,56.15
7441,6,2.90,4.90,30.61,0.0244,0.4011,1.1872,1.80,0.3222,0.0215,0.0057,0.0177,1.1497,ND,ND,0.0032,0.0022,0.0003,ND,0.0062,0.0292,0.0018,0.0255,0.0019,ND,ND,ND,ND,ND,ND,ND,0.0009,ND,ND,ND,56.59
7442,6,2.17,5.21,31.83,ND,0.1838,1.3811,1.51,0.4015,0.0232,ND,0.0152,1.2847,ND,0.0017,0.0035,0.0018,0.0004,0.0002,0.0072,0.0278,0.0021,0.0318,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,0.0010,ND,55.91
7442,6,2.97,4.95,29.53,0.0278,0.3005,1.2201,1.56,0.3392,0.0275,0.0056,0.0173,1.2314,ND,0.0015,0.0039,0.0014,0.0004,ND,0.0072,0.0224,0.0022,0.0308,0.0019,ND,ND,ND,ND,ND,0.0010,ND,0.0007,ND,ND,ND,57.75
7443,6,2.85,4.26,30.82,ND,0.1979,1.0343,2.49,0.3259,0.0287,0.0057,0.0247,1.3317,ND,ND,0.0030,0.0016,ND,ND,0.0060,0.0257,0.0024,0.0271,0.0019,ND,ND,ND,ND,ND,0.0012,ND,0.0006,ND,ND,ND,56.57
7443,6,2.58,4.88,31.44,0.0183,0.1911,1.2860,1.45,0.3500,0.0290,0.0083,0.0158,1.1910,ND,ND,0.0029,0.0016,0.0003,ND,0.0071,0.0212,0.0022,0.0275,0.0018,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,ND,ND,56.50
7444,6,2.47,4.84,30.97,ND,0.1716,1.3540,1.19,0.3989,0.0256,0.0077,0.0122,1.3027,ND,0.0013,0.0030,0.0015,0.0003,ND,0.0079,0.0189,0.0024,0.0321,0.0021,ND,ND,ND,ND,ND,0.0012,ND,0.0009,ND,0.0010,ND,57.19
7444,6,2.96,5.53,30.35,ND,0,1.4940,1.49,0.3596,0.0279,0.0075,0.0176,1.5308,ND,0.0020,0.0027,0.0017,0.0004,0.0002,0.0078,0.0295,0.0022,0.0298,0.0018,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,55.85
7445,6,3.43,4.47,26.55,0.0257,0.3024,1.0655,3.19,0.3543,0.0420,0.0063,0.0341,1.9613,ND,ND,0.0027,0.0016,ND,ND,0.0068,0.0233,0.0024,0.0279,0.0020,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,58.50
7445,6,4.05,4.65,23.10,0.0645,0.4112,0.9879,3.51,0.3474,0.0158,0.0071,0.0366,2.1279,ND,0.0023,0.0036,0.0019,ND,0.0002,0.0062,0.0269,0.0023,0.0279,0.0019,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,60.61
7446,6,3.26,5.25,27.31,ND,0.3418,1.2834,4.39,0.3582,0.0221,ND,0.0433,2.2067,ND,0.0019,0.0027,0.0022,0.0005,ND,0.0060,0.0342,0.0024,0.0313,0.0016,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,55.44
7446,6,2.69,5.85,30.86,ND,0.2343,1.6113,1.85,0.4346,0.0294,0.0094,0.0177,1.3784,ND,0.0022,0.0049,0.0018,ND,ND,0.0072,0.0273,0.0020,0.0311,0.0022,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,54.96
7447,6,3.75,4.69,24.98,0.0277,0.2972,1.0303,5.54,0.3120,0.0304,ND,0.0558,2.6071,ND,ND,0.0032,0.0013,ND,ND,0.0055,0.0281,0.0023,0.0257,0.0016,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,56.60
7447,6,2.23,4.25,29.04,ND,0.1333,1.0309,5.98,0.2996,0.0269,0.0048,0.0582,2.5508,ND,ND,0.0019,0.0015,0.0004,0.0002,0.0051,0.0256,0.0021,0.0180,0.0014,0,ND,ND,ND,ND,0,ND,0,ND,ND,ND,54.34
7448,6,2.88,3.64,27.57,ND,0.0984,0.8168,7.30,0.3010,0.0309,0.0047,0.0666,2.7905,ND,ND,0.0027,0.0014,0.0004,ND,0.0045,0.0221,0.0020,0.0221,0.0013,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,54.45
7448,6,3.20,4.51,26.36,ND,0.1430,1.0530,7.41,0.3217,0.0212,0.0063,0.0699,3.1268,ND,0.0020,0.0030,0.0010,0.0004,ND,0.0051,0.0271,0.0020,0.0246,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,53.70
7449,6,3.57,4.00,25.91,0.0252,0.2291,0.9199,7.12,0.3232,0.0236,0.0084,0.0558,2.8685,ND,0.0019,0.0028,0.0013,0.0004,0.0002,0.0055,0.0242,0.0023,0.0270,0.0018,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,54.88
7449,6,1.75,5.29,29.26,0.1575,0.2394,1.4323,3.72,0.4104,0.0338,0.0107,0.0251,1.4552,ND,0.0015,0.0030,0.0021,0.0003,ND,0.0064,0.0338,0.0038,0.0323,0.0021,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,56.13
7450,6,1.31,3.93,35.46,ND,0.0552,1.0537,3.47,0.2662,0.0386,ND,0.0210,1.0319,ND,ND,0.0025,0.0040,0.0003,ND,0.0046,0.0218,0.0018,0.0173,0.0016,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,53.30
7450,6,1.59,3.16,30.61,ND,ND,0.6306,10.92,0.3400,0.0266,0.0057,0.0365,1.0075,ND,0.0015,0.0026,0.0010,ND,ND,0.0037,0.0369,0.0028,0.0311,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,51.58
7451,6,1.45,3.05,38.14,ND,0.1170,0.6996,4.21,0.3666,0.0321,0.0062,0.0329,1.4266,ND,0.0012,0.0013,0.0014,0.0005,ND,0.0034,0.0497,0.0022,0.0395,0.0019,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,50.37
7451,6,1.35,3.29,37.33,ND,0.1382,0.7969,3.41,0.4180,0.0324,ND,0.0267,1.2518,ND,ND,0.0016,0.0010,0.0005,0.0002,0.0037,0.0378,0.0020,0.0469,0.0016,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,51.86
7452,6,2.54,5.04,28.89,ND,0.1751,1.4141,5.44,0.3993,0.0307,0.0046,0.0541,2.9761,ND,0.0026,0.0039,0.0019,0.0005,ND,0.0080,0.0294,0.0029,0.0337,0.0023,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,52.95
7452,6,2.61,3.08,29.01,ND,0.0115,0.6739,9.52,0.2531,0.0214,0.0051,0.0880,3.2993,ND,ND,0.0019,0.0013,0.0003,ND,0.0037,0.0265,0.0020,0.0183,0.0009,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,51.37
7453,6,1.77,3.59,34.63,ND,0.0221,0.8795,4.18,0.3357,0.0311,0.0056,0.0366,1.5190,ND,ND,0.0016,0.0012,0.0003,ND,0.0041,0.0247,0.0020,0.0269,0.0016,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,52.94
7453,6,1.59,4.09,34.04,ND,0.1874,0.9488,3.92,0.6312,0.0220,0.0089,0.0356,1.5695,ND,ND,0.0023,0.0015,0.0004,ND,0.0044,0.0203,0.0037,0.0811,0.0025,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,52.85
7454,6,1.42,3.63,36.71,ND,0.0853,0.8833,3.77,0.3684,0.0233,0.0069,0.0324,1.4118,ND,ND,0.0010,0.0015,0.0003,ND,0.0041,0.0255,0.0018,0.0256,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,51.60
7454,6,1.54,4.65,33.89,ND,0.0677,1.3426,3.10,0.3574,0.0269,0.0072,0.0267,1.4800,ND,0.0015,0.0024,0.0017,ND,ND,0.0057,0.0313,0.0019,0.0192,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,53.44
7455,6,2.10,4.80,32.59,ND,0.1405,1.2106,3.39,0.3974,0.0414,ND,0.0311,1.7347,ND,0.0026,0.0024,0.0015,0.0003,ND,0.0061,0.0253,0.0024,0.0298,0.0022,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,53.49
7455,6,1.50,3.73,35.75,ND,0.1611,0.9454,2.97,0.3261,0.0235,0.0052,0.0241,1.3313,ND,ND,0.0015,0.0204,0.0003,ND,0.0044,0.0234,0.0018,0.0232,0.0014,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,53.15
7456,6,1.93,3.89,32.47,ND,0.0963,0.9794,5.20,0.3633,0.0288,0.0059,0.0438,2.0626,ND,ND,0.0024,0.0019,0.0003,ND,0.0047,0.0273,0.0022,0.0267,0.0014,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,52.85
7456,6,1.98,6.17,31.83,ND,0.2814,1.6977,2.24,0.4186,0.0393,0.0074,0.0261,1.9713,ND,0.0015,0.0042,0.0020,0.0004,0.0002,0.0080,0.0293,0.0024,0.0302,0.0021,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,53.25
7457,6,2.86,4.53,30.86,ND,0.2922,1.1645,1.28,0.3728,0.0454,0.0072,0.0146,1.3335,ND,0.0019,0.0026,0.0020,0.0004,0.0002,0.0075,0.0215,0.0018,0.0242,0.0022,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,57.18
7457,6,1.31,3.65,36.61,ND,0.0974,0.9217,3.11,0.2749,0.0320,ND,0.0221,1.1067,ND,ND,0.0014,0.0020,ND,ND,0.0046,0.0304,0.0017,0.0166,0.0014,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,52.81
7458,6,1.34,4.00,34.62,ND,0.1612,1.0239,3.33,0.3110,0.0350,0.0071,0.0262,1.2832,ND,0.0014,0.0024,0.0073,0.0004,ND,0.0050,0.0257,0.0016,0.0190,0.0014,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,53.80
7458,6,1.26,3.62,36.43,ND,0.0329,0.8901,3.19,0.3477,0.0322,0.0063,0.0209,1.1131,ND,0.0015,0.0021,0.0016,0.0003,ND,0.0043,0.0258,0.0024,0.0348,0.0018,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,52.99
7459,6,1.77,5.39,32.70,ND,0.2632,1.5783,1.96,0.4423,0.0289,0.0072,0.0237,1.8187,ND,0.0023,0.0046,0.0028,0.0004,ND,0.0079,0.0240,0.0023,0.0385,0.0022,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,53.93
7459,6,1.34,3.67,35.39,ND,0.0238,0.8511,3.35,0.6141,0.0293,0.0091,0.0241,1.1900,ND,ND,0.0034,0.0016,0.0004,ND,0.0040,0.0226,0.0039,0.0860,0.0027,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,0,53.38
7460,6,1.40,4.74,33.71,ND,0.0519,1.3598,3.02,0.4021,0.0281,0.0072,0.0236,1.6131,ND,0.0016,0.0028,0.0023,ND,ND,0.0062,0.0237,0.0024,0.0332,0.0021,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,53.56
7460,6,1.74,4.06,35.45,ND,0.0658,1.0306,3.05,0.3649,0.0213,ND,0.0214,1.1137,ND,ND,0.0025,0.0018,0.0004,ND,0.0047,0.0258,0.0021,0.0371,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,53.01
7461,6,1.45,4.84,35.75,ND,0.0225,1.3193,2.62,0.3552,0.0287,0.0067,0.0218,1.1940,ND,0.0017,0.0031,0.0018,ND,ND,0.0059,0.0289,0.0018,0.0279,0.0018,ND,ND,ND,ND,ND,ND,ND,0,ND,0.0010,ND,52.32
7461,6,1.86,5.43,34.21,ND,0.2436,1.4738,2.19,0.3797,0.0247,0.0077,0.0175,1.4215,ND,ND,0.0022,0.0022,0.0005,ND,0.0062,0.0288,0.0020,0.0280,0.0018,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,52.67
